Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Tank.LWBTP-11.Dens,DB3.REAL2954,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.LI,DB3.REAL2914,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.Mode,DB3.WORD2928,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.OWSelect,DB3.X2926.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.PV,DB3.REAL2934,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.Ready,DB3.X2926.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.SP,DB3.REAL2930,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.SP_Ctrl,DB3.REAL2966,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.SPLVH,DB3.REAL2958,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.SPLVL,DB3.REAL2962,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.VI,DB3.REAL2918,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.Volume,DB3.REAL2938,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-11.WI,DB3.REAL2922,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.CDBLVH,DB3.REAL3412,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.CDBLVL,DB3.REAL3416,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.DB,DB3.REAL3420,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.Dens,DB3.REAL3424,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.LI,DB3.REAL3384,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.Mode,DB3.WORD3398,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.OWSelect,DB3.X3396.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.PV,DB3.REAL3404,Float,1,R/W,1000,,,,,,,,,,,
